index,Scoville Heat Units (SHU)
0,0.0
1,139951.09442595782
2,0.0
3,0.0
4,165317.97250587508
5,116566.20835103915
6,105365.86809398129
7,58998.7272837994
8,187485.13857094053
9,0.0
10,0.0
11,0.0
12,125315.22153127451
13,0.0
14,95121.37944053339
15,118155.03751488871
16,185415.76985624502
17,162328.79454051837
18,194034.6303417285
19,0.0
20,123919.3144107041
21,0.0
22,0.0
23,182736.7411323728
24,157582.15522486833
25,0.0
26,0.0
27,0.0
28,0.0
29,138151.33641330124
30,113313.2048061667
31,0.0
32,103267.27562289008
33,58415.23734042772
34,160725.47219041464
35,0.0
36,0.0
37,0.0
38,0.0
39,158204.20666697872
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,117500.36159706078
48,0.0
49,0.0
50,0.0
51,0.0
52,97194.93838893382
53,0.0
54,60976.90544110748
55,171981.51118957618
56,0.0
57,169603.25707700738
58,76590.5963580308
59,126847.64166080437
60,119473.8867179369
61,0.0
62,142399.4571785275
63,0.0
64,180872.98771598277
65,91964.6807212089
66,16859.12080334835
67,0.0
68,0.0
69,192248.29849921045
70,0.0
71,35133.55725119723
72,123546.76372547436
73,0.0
74,0.0
75,0.0
76,103715.06542309068
77,0.0
78,63347.54682685149
79,0.0
80,97674.73593399832
81,125194.99982099292
82,68577.66766186678
83,0.0
84,0.0
85,82493.50784161518
86,0.0
87,143387.04827643378
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,118525.66826686858
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,131986.78637438826
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,72580.49563390961
108,0.0
109,97451.32119598484
110,0.0
111,108409.71003776396
112,0.0
113,71299.08725492033
114,94594.66330369204
115,159523.45306070478
116,0.0
117,0.0
118,0.0
119,133101.67534935023
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,91901.6527467691
126,0.0
127,127471.11774870791
128,75953.4822641301
129,107146.20167264057
130,92524.99006593192
131,105633.7791340147
132,0.0
133,68158.6078245826
134,135190.06269887259
135,107763.45908101262
136,0.0
137,57473.03915187306
138,134186.85687077508
139,126287.70594664552
140,0.0
141,0.0
142,129093.34451391356
143,100375.28009029091
144,0.0
145,0.0
146,0.0
147,110687.14288407165
148,0.0
149,201319.221174046
150,0.0
151,0.0
152,129877.02323636957
153,0.0
154,0.0
155,75940.36891134239
156,85065.95315979957
157,0.0
158,0.0
159,0.0
160,0.0
161,87487.8058856069
162,0.0
163,115256.14320092337
164,0.0
165,0.0
166,0.0
167,0.0
168,106633.58522529656
169,0.0
170,0.0
171,0.0
172,0.0
